bg,eq_BG,CGM_glucose,running_temp,rate,IOB,unsafe_action_reason
160,143,160.0,0,1.5,0.399,Null
145,93,100.0,1.5,0,1.194,Null
145,78,100.0,0,0,1.583,Null
145,80,100.0,0,0,1.565,Null
145,83,100.0,0,0,1.543,Null
145,85,100.00286463414633,0,0,1.516,Null
145,87,100.01228969267353,0,0,1.485,Null
145,90,100.03187714573943,0,0,1.45,Null
145,74,100.06475296422805,0,0,1.812,Null
145,77,100.11344574401164,0,0,1.769,Null
145,80,100.17988608689788,0,0,1.724,Null
145,84,100.26545775618646,0,0,1.675,Null
145,86,100.37106715417123,0,0,1.624,Null
145,88,100.49721537166543,0,0,1.571,Null
145,74,100.64406582297408,0,0,1.916,Null
145,77,100.8115047658154,0,0,1.859,Null
145,80,100.99919405469913,0,0,1.799,Null
145,84,101.2066164125642,0,0,1.737,Null
145,87,101.43311389308775,0,0,1.675,Null
145,89,101.67792032762303,0,0,1.612,Null
145,92,101.940188547467,0,0,1.548,Null
145,95,102.21901311432767,0,0,1.484,Null
145,98,102.5134492139758,0,0,1.421,Null
145,101,102.82252828670848,0,0,1.358,Null
145,104,103.1452708910106,0,0,1.296,Null
145,105,103.4806972267853,0,0.55,1.234,Null
145,91,103.82783568264233,0.55,0,1.573,Null
145,76,104.18572971784893,0,0,1.911,Null
145,80,104.5534433430547,0,0,1.846,Null
145,83,104.91933601865502,0,0,1.78,Null
145,86,105.27927116271647,0,0,1.713,Null
145,89,105.63258430161821,0,0,1.646,Null
145,92,105.9801015705829,0,0,1.578,Null
145,95,106.32318054428336,0,0,1.511,Null
145,98,106.66325973093008,0,0,1.444,Null
145,101,107.00165956697988,0,0,1.378,Null
145,103,107.33950622263411,0,0,1.31,Null
145,106,107.67771398027027,0,0,1.245,Null
145,109,108.01699428591415,0,0.9,1.182,Null
145,94,108.35787578365014,0.9,0,1.52,Null
145,78,108.70072775107396,0,0,1.857,Null
145,82,109.04578339388375,0,0,1.792,Null
145,85,109.37484986845885,0,0,1.726,Null
145,88,109.68240564970624,0,0,1.658,Null
145,91,109.96873645793755,0,0,1.591,Null
145,94,110.23656156056573,0,0,1.524,Null
145,79,110.48940175567273,0,0,1.856,Null
145,84,110.73081540608999,0,0,1.788,Null
