bg,eq_BG,CGM_glucose,running_temp,rate,IOB,unsafe_action_reason
160,160,160.0,0,2.1,0,Null
160,153,160.0,2.1,2.1,0.15,Null
160,149,160.0,2.1,2.1,0.249,Null
160,145,160.0,2.1,2.1,0.347,Null
160,139,160.0,2.1,2,0.493,Null
159.94,134,159.93552530454485,2,1.75,0.588,Null
159.72,132,159.72276132980065,1.75,1.7,0.63,Null
159.28,127,159.27963738280104,1.7,1.45,0.72,Null
158.54,122,158.5383217247529,1.45,1.25,0.807,Null
157.45,124,157.45442952391048,1.25,1.25,0.792,Null
156,120,156.003257363656,1.25,0.7,0.824,Null
154.18,118,154.18265336866182,0.7,0.7,0.804,Null
152.01,115,152.01036527804015,0.7,0.7,0.783,Null
149.51,112,149.51482272582433,0.7,0.7,0.76,Null
146.75,109,146.74540912977565,0.7,0.6,0.735,Null
143.76,105,143.757524059521,0.6,0.25,0.71,Null
140.61,104,140.60532655625033,0.25,0.15,0.634,Null
137.34,102,137.33842742433313,0.15,0,0.558,row_37
134,101,134.00316818802344,0,0,0.482,row_37
130.65,103,130.64904278250285,0,0.1,0.357,Null
127.32,99,127.3233907182736,0.1,0,0.332,row_37
124.07,98,124.07014274997229,0,0,0.259,row_37
120.93,101,120.9256008608244,0,0,0.137,row_37
117.92,101,117.91527175617496,0,0,0.067,row_37
115.06,101,115.05845729408632,0,0,-0.001,row_37
112.37,101,112.36833582197814,0,0,-0.068,row_37
109.85,102,109.85271999073105,0,0,-0.132,Null
107.52,102,107.51501193170122,0,0,-0.194,Null
132.68,133,105.35513952436104,0,0.7,-0.304,Null
103.37,102,103.37038623925184,0.7,0,-0.261,Null
101.56,104,101.55608861898433,0,0.15,-0.317,Null
99.91,105,99.90620355965996,0.15,0.25,-0.37,Null
98.4,92,98.40071050807515,0.25,0,-0.421,Null
97.03,96,97.02891625114175,0,0,-0.47,Null
95.78,101,95.78131486132646,0,0,-0.566,Null
94.65,103,94.64741719205016,0,0.1,-0.61,Null
93.62,105,93.62134239216451,0.1,0.25,-0.651,Null
92.7,114,92.69895532858567,0.25,0.7,-0.69,Null
91.88,112,91.87660394056391,0.7,0.7,-0.677,Null
91.15,111,91.14889697321786,0.7,0.7,-0.662,Null
90.51,110,90.5072704158087,0.7,0.7,-0.646,Null
89.93,108,89.93482092830527,0.7,0.5,-0.628,Null
89.41,108,89.41299954095588,0.5,0.5,-0.609,Null
88.92,109,88.92449085492257,0.5,0.6,-0.639,Null
88.45,107,88.454299472268,0.6,0.45,-0.617,Null
87.99,108,87.99331557871074,0.45,0.5,-0.645,Null
87.54,104,87.53578831291853,0.5,0.15,-0.572,Null
87.08,105,87.07636661085772,0.15,0.25,-0.599,Null
86.61,106,86.6130189875666,0.25,0.35,-0.625,Null
86.14,105,86.1445544580138,0.35,0.25,-0.65,Null
85.68,106,85.67600517935634,0.25,0.35,-0.675,Null
85.21,107,85.21271513457852,0.35,0.45,-0.698,Null
84.76,107,84.75796714603564,0.45,0.45,-0.721,Null
84.32,106,84.31544774775332,0.45,0.35,-0.693,Null
83.89,105,83.88697031580548,0.35,0.25,-0.714,Null
83.47,106,83.47180280762305,0.25,0.35,-0.734,Null
83.07,106,83.06827470394856,0.35,0.35,-0.754,Null
82.68,104,82.67607293359839,0.35,0.15,-0.723,Null
82.3,105,82.29696877950015,0.15,0.25,-0.742,Null
81.93,105,81.93176222924413,0.25,0.25,-0.76,Null
81.58,106,81.58073336652281,0.25,0.35,-0.777,Null
81.25,106,81.24691870644935,0.35,0.35,-0.794,Null
80.93,104,80.93248110306564,0.35,0.15,-0.759,Null
80.64,105,80.63889385991705,0.15,0.25,-0.775,Null
80.37,105,80.36557474540496,0.25,0.25,-0.79,Null
80.11,105,80.1110955242093,0.25,0.25,-0.805,Null
79.88,104,79.87674868598343,0.25,0.15,-0.77,Null
79.66,104,79.66314098497824,0.15,0.15,-0.784,Null
79.47,104,79.47042185079447,0.15,0.15,-0.799,Null
79.3,105,79.29842178257545,0.15,0.25,-0.813,Null
79.15,105,79.14822146111459,0.25,0.25,-0.827,Null
79.02,106,79.02113960989728,0.25,0.35,-0.84,Null
78.92,106,78.91829866355793,0.35,0.35,-0.854,Null
78.84,105,78.83899507307447,0.35,0.25,-0.817,Null
78.78,106,78.7817340030432,0.25,0.35,-0.831,Null
78.74,106,78.74326247355593,0.35,0.35,-0.844,Null
78.72,105,78.71986735878991,0.35,0.25,-0.807,Null
78.71,106,78.7094296549722,0.25,0.35,-0.82,Null
78.71,106,78.70914037445807,0.35,0.35,-0.833,Null
78.72,105,78.71615410648553,0.35,0.25,-0.796,Null
78.73,105,78.72933873929512,0.25,0.25,-0.81,Null
78.75,106,78.74685462285294,0.25,0.35,-0.823,Null
78.77,106,78.76674853920711,0.35,0.35,-0.836,Null
78.79,105,78.7886846430379,0.35,0.25,-0.798,Null
78.81,105,78.81299100092757,0.25,0.25,-0.812,Null
78.84,106,78.8387350799938,0.25,0.35,-0.824,Null
78.86,107,78.86457003501266,0.35,0.45,-0.837,Null
78.89,107,78.89059711197655,0.45,0.45,-0.85,Null
78.92,106,78.9174789112022,0.45,0.35,-0.813,Null
78.94,106,78.94454833480665,0.35,0.35,-0.825,Null
78.97,104,78.96920276924561,0.35,0.15,-0.788,Null
78.99,105,78.9883629151883,0.15,0.25,-0.801,Null
79,106,79.00060193528756,0.25,0.35,-0.814,Null
79.01,106,79.00535232087243,0.35,0.35,-0.826,Null
79.01,105,79.00545005768434,0.35,0.25,-0.789,Null
79,105,79.00333507997712,0.25,0.25,-0.802,Null
79,106,78.99956514301742,0.25,0.35,-0.815,Null
78.99,106,78.9939002365469,0.35,0.35,-0.827,Null
78.99,105,78.98729686298314,0.35,0.25,-0.79,Null
